Gene	adj.P.Val
ENSMUSG00000072618.2	3.05291811469064e-05
ENSMUSG00000030825.19	3.08349578293313e-05
ENSMUSG00000085382.1	3.08349578293313e-05
ENSMUSG00000032965.10	3.08349578293313e-05
ENSMUSG00000022701.17	3.16003470051274e-05
ENSMUSG00000005470.8	3.26352689126061e-05
ENSMUSG00000006333.14	3.28196459166271e-05
ENSMUSG00000016526.8	3.37091839933192e-05
ENSMUSG00000028546.17	3.41359905199213e-05
ENSMUSG00000037169.14	3.53892645769806e-05
ENSMUSG00000030884.12	3.54114362382927e-05
ENSMUSG00000002930.6	3.66990584224864e-05
ENSMUSG00000021067.7	3.87319083669719e-05
ENSMUSG00000070076.2	3.87319083669719e-05
ENSMUSG00000074165.10	3.87319083669719e-05
ENSMUSG00000045498.1	3.97278270334363e-05
ENSMUSG00000068876.14	3.97278270334363e-05
ENSMUSG00000005534.10	4.04553230566548e-05
ENSMUSG00000021027.15	4.12441560400037e-05
ENSMUSG00000026238.14	4.16222318110602e-05
ENSMUSG00000069515.5	4.29921396796492e-05
ENSMUSG00000061306.15	4.29921396796492e-05
ENSMUSG00000032221.14	4.40977398341262e-05
ENSMUSG00000075590.2	4.51281302993384e-05
ENSMUSG00000027796.2	4.52721606296376e-05
ENSMUSG00000042216.13	4.53726469742367e-05
ENSMUSG00000031712.9	4.6377486249486e-05
ENSMUSG00000098192.1	4.6377486249486e-05
ENSMUSG00000086873.1	4.6377486249486e-05
ENSMUSG00000026821.15	4.7225485979396e-05
ENSMUSG00000010406.11	4.86991267174328e-05
ENSMUSG00000041684.11	4.97899868749382e-05
ENSMUSG00000045969.8	4.97899868749382e-05
ENSMUSG00000032135.14	5.1909398026393e-05
ENSMUSG00000011179.7	5.23400891651468e-05
ENSMUSG00000077394.1	5.39492908474187e-05
ENSMUSG00000067199.4	5.82808883476871e-05
ENSMUSG00000021786.12	5.84923608559176e-05
ENSMUSG00000048988.8	5.84923608559176e-05
ENSMUSG00000019437.17	5.93192164125559e-05
ENSMUSG00000003500.13	5.99975563520436e-05
ENSMUSG00000103062.1	6.01716786706608e-05
ENSMUSG00000053411.16	6.08825299618592e-05
ENSMUSG00000070390.12	6.08825299618592e-05
ENSMUSG00000085665.1	6.08825299618592e-05
ENSMUSG00000056073.14	6.28046840790552e-05
ENSMUSG00000035325.16	6.30964315379461e-05
ENSMUSG00000043460.6	6.30964315379461e-05
ENSMUSG00000105230.1	6.43222049741712e-05
ENSMUSG00000072761.10	6.54018293844349e-05
ENSMUSG00000030008.9	6.55937681994833e-05
ENSMUSG00000029787.10	6.55937681994833e-05
ENSMUSG00000031482.9	6.83770235574368e-05
ENSMUSG00000031242.7	6.83770235574368e-05
ENSMUSG00000100691.1	6.84529668072704e-05
ENSMUSG00000086916.2	6.86353771834316e-05
ENSMUSG00000063931.14	6.90626492120042e-05
ENSMUSG00000079509.10	7.04405129836631e-05
ENSMUSG00000097458.1	7.23931772945299e-05
ENSMUSG00000021676.9	7.39385246730597e-05
ENSMUSG00000109459.1	7.97551015080301e-05
ENSMUSG00000042659.15	8.18877337137135e-05
ENSMUSG00000037405.7	8.19062378927692e-05
ENSMUSG00000023243.8	8.46907657176115e-05
ENSMUSG00000055676.4	8.51605163792704e-05
ENSMUSG00000039834.17	8.69065917569968e-05
ENSMUSG00000031079.12	8.94482064393794e-05
ENSMUSG00000042340.6	9.04120626557431e-05
ENSMUSG00000002983.17	9.10546108093707e-05
ENSMUSG00000050619.14	9.12147951413118e-05
ENSMUSG00000021978.8	9.36147645706292e-05
ENSMUSG00000024130.15	9.37073909059033e-05
ENSMUSG00000006445.3	9.58811626890979e-05
ENSMUSG00000048249.14	9.63416253275544e-05
ENSMUSG00000003421.13	9.63416253275544e-05
ENSMUSG00000043987.17	9.67534178618504e-05
ENSMUSG00000098769.1	9.81301211936741e-05
ENSMUSG00000030249.15	0.00010101184368735
ENSMUSG00000027357.16	0.000101172081360812
ENSMUSG00000022843.16	0.000103440242119307
ENSMUSG00000101904.1	0.000103473995848796
ENSMUSG00000039728.15	0.000104555519094361
ENSMUSG00000028893.8	0.000107885702268121
ENSMUSG00000022494.13	0.000110237723412209
ENSMUSG00000020890.11	0.000112515643681491
ENSMUSG00000031955.9	0.0001139796064615
ENSMUSG00000031594.9	0.000114551829819893
ENSMUSG00000020432.12	0.000122136222098815
ENSMUSG00000048939.13	0.000124119034320976
ENSMUSG00000029135.10	0.00012526976167606
ENSMUSG00000030125.11	0.000130200522450881
ENSMUSG00000016487.15	0.000130485702623012
ENSMUSG00000039428.11	0.000130485702623012
ENSMUSG00000096938.7	0.00013305406938544
ENSMUSG00000038742.6	0.000134685021818817
ENSMUSG00000026927.17	0.000136236443013951
ENSMUSG00000061728.5	0.000137900503408132
ENSMUSG00000102526.1	0.000138140345154262
ENSMUSG00000019487.10	0.000139756143074094
ENSMUSG00000074342.3	0.000142776606116541
ENSMUSG00000034557.14	0.000143247830359951
ENSMUSG00000016206.6	0.000143873597218009
ENSMUSG00000023452.18	0.000143873597218009
ENSMUSG00000098449.1	0.000143873597218009
ENSMUSG00000027411.17	0.000143873597218009
ENSMUSG00000003484.4	0.000144170531733802
ENSMUSG00000006362.15	0.000147863634997343
ENSMUSG00000054302.15	0.000147863634997343
ENSMUSG00000034912.16	0.000149653185980784
ENSMUSG00000106612.1	0.000152949607658143
ENSMUSG00000097903.1	0.000153185896325608
ENSMUSG00000015289.4	0.00015419037216694
ENSMUSG00000094443.2	0.000163561683937516
ENSMUSG00000051223.14	0.00016433740448529
ENSMUSG00000021694.18	0.000165506748219276
ENSMUSG00000045005.9	0.000168966339118398
ENSMUSG00000015090.13	0.000171943535018245
ENSMUSG00000087481.7	0.000172009963784002
ENSMUSG00000078866.10	0.000173511473351486
ENSMUSG00000038187.14	0.000174205195103574
ENSMUSG00000097746.1	0.000174246042122009
ENSMUSG00000096141.2	0.000174246042122009
ENSMUSG00000028833.13	0.000175153689542177
ENSMUSG00000059534.8	0.000175417705900586
ENSMUSG00000037860.15	0.000175527771507288
ENSMUSG00000039318.12	0.000175678846018834
ENSMUSG00000047215.14	0.000175700130115861
ENSMUSG00000028125.14	0.00017895306153909
ENSMUSG00000096959.1	0.00017895306153909
ENSMUSG00000049252.17	0.000179647561901036
ENSMUSG00000025934.15	0.000181991659949407
ENSMUSG00000061981.14	0.000181991659949407
ENSMUSG00000029403.14	0.00018408495486312
ENSMUSG00000086567.1	0.000189480930718389
ENSMUSG00000040563.13	0.00019180982969311
ENSMUSG00000040152.8	0.000193583624808899
ENSMUSG00000020261.15	0.000193890166448313
ENSMUSG00000004961.7	0.000194999859504414
ENSMUSG00000104257.1	0.00019681203598359
ENSMUSG00000070436.12	0.000199789010865695
ENSMUSG00000041415.9	0.00020166664186417
ENSMUSG00000100502.1	0.000201876256640381
ENSMUSG00000024906.9	0.000201876256640381
ENSMUSG00000059070.16	0.000201876256640381
ENSMUSG00000006784.14	0.000216264480418218
ENSMUSG00000019433.8	0.000220887843439437
ENSMUSG00000053318.7	0.000220887843439437
ENSMUSG00000087222.1	0.000220887843439437
ENSMUSG00000028636.14	0.00022234883837273
ENSMUSG00000019935.16	0.000228790519127055
ENSMUSG00000081058.5	0.000229343160512057
ENSMUSG00000052698.14	0.000229343160512057
ENSMUSG00000023307.13	0.000231351482290303
ENSMUSG00000018666.13	0.000238022987113749
ENSMUSG00000069300.3	0.000246023459125323
ENSMUSG00000079020.9	0.000249736652813834
ENSMUSG00000038022.11	0.00025201239580925
ENSMUSG00000029345.13	0.000253959724207636
ENSMUSG00000105382.1	0.000253959724207636
ENSMUSG00000020193.3	0.000255280925667314
ENSMUSG00000104737.1	0.000256963822829791
ENSMUSG00000035566.6	0.000265830382683927
ENSMUSG00000047497.9	0.000266602985926494
