C91	C92	C93
0	0	0
830	1079	876
1047	1989	1603
211	203	280
909	704	655
2683	2708	2167
5134	4756	4568
9	21	27
34	56	42
153	86	144
0	0	0
112	66	44
0	0	0
124	132	147
22	23	25
253	259	269
100	69	66
348	288	295
924	1093	940
510	556	428
0	1	0
6	44	31
5	0	2
643	606	503
17	20	9
0	0	0
29	74	37
151	110	118
297	338	230
499	650	605
3	5	10
121	176	119
0	0	0
397	486	457
0	0	0
406	358	271
0	0	0
3937	5135	4400
692	837	679
132	101	97
3	7	6
0	0	0
460	669	684
611	542	446
167	175	139
430	665	546
7	1	26
111	34	108
328	496	382
97	98	86
0	0	0
0	0	0
11	24	17
1	0	1
569	510	401
0	1	2
1092	1125	857
801	906	510
324	424	382
8	17	12
833	998	849
632	503	426
0	0	0
722	1109	950
171	265	222
23	47	34
0	0	2
64	58	49
94	126	96
0	0	0
0	0	1
290	189	232
118	119	98
1859	2072	1766
79	49	42
143	97	111
446	429	366
30	35	19
89	129	71
255	392	281
96	40	129
100	73	122
547	709	471
13	14	43
0	0	0
1742	2152	1928
0	1	0
160	107	148
928	1123	998
0	0	0
38	53	41
504	521	498
0	0	0
877	912	676
0	0	0
44	57	56
1484	1398	1174
172	180	93
711	520	475
380	438	426
291	255	212
54	37	40
81	75	101
0	0	0
62	108	49
0	0	0
6	4	6
55	116	102
159	137	100
451	477	385
607	588	533
0	0	0
0	0	0
0	0	0
1915	1711	1504
162	158	149
100	168	102
0	1	0
1602	1468	1259
0	0	0
9	11	11
342	436	421
0	0	0
9	2	11
372	406	393
3845	3860	3340
18	12	7
4536	3492	2816
94	81	66
324	362	348
3	5	3
0	0	0
0	0	0
575	692	593
157	227	175
667	824	822
0	0	0
0	0	0
124	140	124
0	0	0
1028	1082	973
5	0	1
170	119	103
23	17	39
10	25	16
64	72	65
339	280	270
131	111	132
2557	2344	2021
1	0	5
513	453	365
335	408	286
0	2	2
573	652	517
0	0	0
0	0	0
885	1214	937
774	916	661
308	271	250
29	17	23
264	160	169
1168	1377	1109
3772	3751	3225
508	481	765
767	1335	660
0	0	1
80	59	87
344	365	276
0	0	0
273	350	331
0	0	0
1	1	1
261	411	272
2	2	3
412	447	382
144	197	73
667	764	559
0	2	8
209	209	166
120	224	188
0	0	0
2	0	1
77	61	50
25	18	21
662	524	524
0	0	0
101	135	126
51	51	38
320	467	291
83	55	62
117	109	93
187	514	498
234	253	228
24	23	34
85	66	44
0	0	0
576	488	414
0	2	2
2789	3505	4110
75	59	90
547	516	400
49	26	60
80	91	53
5	2	12
957	1433	1254
51	34	34
155	159	134
6	0	11
71	56	118
714	722	629
1	1	0
0	0	0
489	742	550
428	433	313
716	787	641
0	0	0
54	45	90
181	122	106
336	272	338
155	175	150
594	532	362
135	98	67
0	0	0
377	318	336
2036	2437	1962
23	11	13
7	5	3
0	0	0
0	0	0
113	116	143
0	0	0
149	302	174
722	811	676
0	0	0
0	0	2
24	17	12
0	3	0
12476	16476	13203
0	0	0
0	0	0
1	1	0
238	295	245
0	0	0
29	9	20
0	0	0
0	0	0
0	0	0
117	134	126
0	0	0
3292	3645	3502
17	75	60
910	1094	904
