C61	C62
AT1G05380	939	755
AT1G05385	63	66
AT1G05390	0	0
AT1G05400	22	29
AT1G05410	374	263
AT1G05420	21	11
AT1G05430	336	224
AT1G05440	44	19
AT1G05450	24	28
AT1G05460	278	177
AT1G05470	350	234
AT1G05490	72	61
AT1G05500	1257	1023
AT1G05510	0	0
AT1G05520	1099	886
AT1G05530	106	50
AT1G05540	2	9
AT1G05550	0	0
AT1G05562	0	39
AT1G05560	14	57
AT1G05570	6083	5400
AT1G04393	7	4
AT1G04397	0	0
AT1G05575	61	77
AT1G05577	32	10
AT1G05580	0	0
AT1G05590	260	205
AT1G05600	88	72
AT1G05610	11	4
AT1G05615	0	0
AT1G05620	707	489
AT1G05630	345	274
AT1G05640	89	47
AT1G05650	69	49
AT1G04403	0	0
AT1G05660	319	212
AT1G05670	134	77
AT1G05675	1	0
AT1G05680	32	22
AT1G05690	21	38
AT1G05700	52	94
AT1G04407	0	0
AT1G05710	339	332
AT1G05720	514	366
AT1G04413	2	1
AT1G05730	43	15
AT1G04417	0	0
AT1G05740	0	0
AT1G05750	60	28
AT1G05760	78	54
AT1G05770	25	15
AT1G05780	95	76
AT1G04423	4	2
AT1G05783	5	7
AT1G04427	0	0
AT1G05785	131	133
AT1G05790	362	269
AT1G05800	0	0
AT1G05805	312	246
AT1G05810	276	304
AT1G05820	50	25
AT1G05830	591	335
AT1G05835	44	27
AT1G04433	0	1
AT1G05840	569	410
AT1G04437	0	0
AT1G05850	10035	9549
AT1G05860	199	150
AT1G05870	492	362
AT1G05880	11	1
AT1G05890	1210	908
AT1G05894	14	18
AT1G05900	162	118
AT1G05910	625	486
AT1G05920	0	0
AT1G05930	0	0
AT1G05940	603	488
AT1G05950	55	30
AT1G05960	1644	1431
AT1G05970	95	58
AT1G05980	0	0
AT1G05990	90	66
AT1G06002	71	66
AT1G06000	2023	1730
AT1G06010	182	130
AT1G06020	4	3
AT1G06030	15	11
AT1G06040	4173	3695
AT1G06045	4	2
AT1G06050	109	126
AT1G06060	389	308
AT1G06070	360	286
AT1G04443	0	0
AT1G06080	156	109
AT1G06090	275	416
AT1G06100	0	0
AT1G06110	885	648
AT1G06120	446	374
AT1G06130	330	220
AT1G06135	0	0
AT1G06137	0	0
AT1G06140	10	24
AT1G06143	31	40
AT1G06150	498	329
AT1G06148	2	0
AT1G06160	13	14
AT1G06170	12	9
AT1G04447	0	0
AT1G06180	130	73
AT1G06190	285	216
AT1G06200	710	605
AT1G06210	684	523
AT1G06220	1191	864
AT1G06225	0	1
AT1G06230	1369	956
AT1G06240	140	101
AT1G06250	0	0
AT1G06265	31	22
AT1G06260	0	0
AT1G06270	72	54
AT1G06280	0	0
AT1G06290	1633	1632
AT1G06310	81	28
AT1G06320	12	6
AT1G06330	18	10
AT1G06340	0	0
AT1G06350	56	23
AT1G06360	0	23
AT1G06380	130	88
