C61	C62
AT3G18140	654	448
AT3G03625	3	2
AT3G18150	0	0
AT3G18160	211	181
AT3G18165	563	393
AT3G18170	1402	1400
AT3G03635	1	5
AT3G18180	0	0
AT3G18190	2599	1684
AT3G18200	736	508
AT3G18210	389	240
AT3G18215	523	447
AT3G18217	0	0
AT3G03645	0	0
AT3G03655	0	0
AT3G18220	0	0
AT3G18230	768	777
AT3G18235	0	0
AT3G18240	455	258
AT3G18250	10	6
AT3G18260	77	63
AT3G18270	257	158
AT3G18280	1335	1230
AT3G18282	0	0
AT3G18290	1046	1022
AT3G18291	0	0
AT3G18295	156	142
AT3G18300	38	25
AT3G18310	199	162
AT3G18320	70	82
AT3G18330	0	0
AT3G18340	0	0
AT3G03665	0	0
AT3G18350	321	273
AT3G18360	0	3
AT3G18362	0	0
AT3G03675	0	0
AT3G18370	767	683
AT3G18380	263	225
AT3G18390	428	342
AT3G18400	380	400
AT3G18410	1406	1152
AT3G18420	255	213
AT3G18430	515	394
AT3G18440	780	618
AT3G18450	112	172
AT3G18460	2	2
AT3G18470	0	2
AT3G18480	756	554
AT3G18485	1	8
AT3G03685	0	0
AT3G03695	0	0
AT3G18490	1288	1610
AT3G18500	25	20
AT3G18510	55	35
AT3G18518	0	0
AT3G18520	715	470
AT3G18524	160	72
AT3G18530	2	2
AT3G18535	275	228
AT3G03705	0	0
AT3G18550	0	0
AT3G03715	0	0
AT3G03725	0	0
AT3G03735	0	0
AT3G18560	523	487
AT3G18570	9	8
AT3G18580	142	76
AT3G18590	0	0
AT3G18600	1035	532
AT3G18610	45	30
AT3G18620	224	207
AT3G18630	38	37
AT3G18640	520	416
AT3G18650	0	0
AT3G18660	195	176
AT3G18670	12	6
AT3G18680	75	74
AT3G18690	89	77
AT3G03745	4	0
AT3G18700	0	0
AT3G18710	271	200
AT3G18715	11	15
AT3G03755	0	0
AT3G18720	0	0
AT3G18730	123	66
AT3G18740	2632	2026
AT3G18750	134	140
AT3G18760	351	257
AT3G18770	92	101
AT3G18773	35	60
AT3G18775	6	2
AT3G03765	0	0
AT3G03775	0	0
AT3G18780	19164	18208
AT3G18790	452	328
AT3G18800	27	40
AT3G18810	0	0
AT3G18815	0	0
AT3G18820	2195	1811
AT3G18827	0	0
AT3G18830	943	819
AT3G18840	8	2
AT3G18850	60	35
AT3G18860	1421	1117
AT3G18870	27	23
AT3G03785	0	0
AT3G18880	49	25
AT3G18890	33	184
AT3G18895	0	0
AT3G18900	15	15
AT3G18905	0	0
AT3G18910	184	113
AT3G18930	52	39
AT3G18915	21	17
AT3G18940	405	229
AT3G18950	57	126
AT3G18952	0	0
AT3G18957	0	0
AT3G18960	16	10
AT3G18970	21	19
AT3G18980	241	190
AT3G18990	1099	803
AT3G19000	526	477
AT3G19002	3	5
AT3G19010	810	755
AT3G19020	17	19
AT3G19030	1041	989
AT3G19035	0	0
AT3G19040	16	17
AT3G03795	0	0
AT3G19050	585	265
AT3G19055	0	0
AT3G19070	0	1
AT3G19080	201	97
AT3G19085	0	0
AT3G19090	5	14
AT3G19100	2211	1774
AT3G19120	468	295
AT3G19130	2137	1330
AT3G19140	0	0
AT3G19150	175	158
AT3G19160	0	0
AT3G19170	1259	1417
AT3G19180	253	169
AT3G19184	21	6
AT3G19190	1181	1109
AT3G19200	80	49
AT3G19210	90	69
AT3G19220	110	86
AT3G19230	3	2
AT3G19235	0	0
AT3G19240	843	813
AT3G19250	41	25
AT3G19260	454	359
AT3G19270	0	4
AT3G19274	0	0
AT3G19280	119	114
AT3G03805	0	1
AT3G19290	671	481
AT3G03815	3	2
AT3G19300	83	51
AT3G19310	8	3
AT3G19320	139	128
AT3G19330	14	10
AT3G19340	1124	992
AT3G19350	0	0
AT3G19360	107	68
AT3G19370	2170	1539
AT3G19380	191	165
AT3G19390	1842	1556
AT3G19400	322	299
AT3G19410	0	0
AT3G19420	1938	1583
AT3G19430	364	366
AT3G19440	93	59
AT3G19450	8320	7430
AT3G19460	294	189
AT3G19470	96	57
AT3G19480	3	76
AT3G19490	458	360
AT3G19500	11	9
AT3G19508	105	76
AT3G19510	375	221
AT3G19515	519	333
AT3G19520	634	455
AT3G19530	1	2
AT3G19540	514	448
AT3G03825	0	0
AT3G19550	1	0
AT3G19552	0	0
AT3G19553	402	430
AT3G19560	0	0
AT3G03835	0	0
AT3G19565	0	0
AT3G19570	161	119
AT3G19580	305	410
AT3G19590	185	125
AT3G03865	0	0
AT3G19600	0	0
AT3G19595	0	0
AT3G19610	0	0
AT3G19613	0	0
AT3G19615	2	1
AT3G19620	0	3
AT3G19630	343	261
AT3G19640	784	729
AT3G19650	229	148
AT3G19660	260	218
AT3G19663	17	6
AT3G19670	500	320
AT3G19680	854	723
AT3G19690	0	0
AT3G03875	0	0
AT3G19700	24	21
AT3G19710	3578	2600
AT3G19720	438	398
AT3G19740	864	535
AT3G19760	2350	1994
AT3G19770	541	457
AT3G19780	344	260
AT3G03895	0	0
AT3G19790	180	125
AT3G19800	21	89
AT3G19810	79	65
AT3G19820	9321	6763
AT3G19830	192	188
AT3G03905	0	0
AT3G19840	340	165
AT3G19850	1	11
AT3G19860	440	395
AT3G03915	0	0
AT3G19870	702	602
AT3G19880	0	0
AT3G19890	0	0
AT3G19895	383	348
AT3G03925	0	0
AT3G19900	348	400
AT3G19910	942	693
AT3G19920	0	0
AT3G19930	1404	1414
AT3G19940	2	8
AT3G19950	508	456
AT3G19960	632	512
AT3G19970	172	168
AT3G19980	467	378
AT3G19990	343	261
AT3G20000	1640	966
AT3G20010	300	180
AT3G03935	0	0
AT3G20015	1243	1088
AT3G20020	199	105
AT3G03945	0	0
AT3G20030	0	0
AT3G20040	136	107
AT3G20050	3432	2084
AT3G20060	562	457
AT3G20070	110	81
AT3G20080	651	486
AT3G20090	320	243
AT3G20100	1243	1190
AT3G20110	218	188
AT3G20120	422	373
AT3G20130	363	252
AT3G20140	21	2
AT3G20150	397	204
AT3G20155	0	0
AT3G20160	26	59
AT3G20170	171	149
AT3G20180	2	1
AT3G20190	1	3
AT3G20200	51	17
AT3G20210	0	1
AT3G03955	0	0
AT3G20220	0	0
AT3G20230	156	119
AT3G03965	0	0
AT3G20240	112	93
AT3G20250	2294	2190
AT3G20260	416	254
AT3G20270	75	76
AT3G20280	156	130
AT3G20290	813	682
AT3G20300	105	105
AT3G20310	818	746
AT3G20320	339	263
AT3G20330	411	275
AT3G20340	222	218
AT3G20350	163	142
AT3G20360	7	6
AT3G20362	0	0
AT3G20370	2752	2130
AT3G20380	535	521
AT3G20390	2290	1857
AT3G20395	4	19
AT3G20400	0	0
AT3G20410	1455	1378
AT3G20420	19	12
AT3G20430	174	115
AT3G20440	102	58
AT3G20450	49	28
AT3G20460	297	372
AT3G20470	965	593
AT3G20475	21	16
AT3G20480	35	15
AT3G20490	170	123
AT3G20500	348	235
AT3G20510	906	808
AT3G20520	12	7
AT3G20530	0	0
AT3G20540	446	324
AT3G20550	471	275
AT3G20555	2	0
AT3G20557	16	25
AT3G20560	386	293
AT3G20570	455	414
AT3G20580	0	0
AT3G20590	75	48
AT3G20600	47	46
AT3G20610	0	0
AT3G20620	220	175
AT3G20630	1101	888
AT3G20640	188	127
AT3G20650	321	206
AT3G20655	0	0
AT3G20660	158	120
AT3G20670	393	259
AT3G20680	40	59
AT3G03975	0	0
AT3G20690	0	0
AT3G20700	0	0
AT3G03985	0	0
AT3G03995	0	0
AT3G04005	0	0
AT3G20710	15	22
AT3G20720	488	344
AT3G20730	9	3
AT3G04015	0	0
AT3G20740	261	178
AT3G04025	0	0
AT3G20750	0	0
AT3G20760	282	282
AT3G20770	2606	2479
AT3G20780	151	106
AT3G20790	449	320
AT3G04035	0	0
AT3G20800	409	347
AT3G20810	24	18
AT3G20820	141	210
AT3G20830	532	468
AT3G20840	118	79
AT3G20850	27	43
AT3G20860	358	281
AT3G20865	0	1
AT3G20870	511	354
AT3G20880	12	3
AT3G20885	0	0
AT3G20890	180	107
AT3G20898	129	87
AT3G20900	7	2
AT3G20910	93	67
AT3G20920	889	616
AT3G20930	83	54
AT3G20935	109	73
AT3G20940	387	266
AT3G20950	0	0
AT3G20960	459	452
AT3G20970	362	209
AT3G20978	1	0
AT3G20980	0	0
AT3G20993	0	0
AT3G20997	0	0
AT3G21000	10	13
AT3G04045	0	0
AT3G21055	56	1023
AT3G21060	172	130
AT3G21070	1464	1563
AT3G21080	7	5
AT3G21090	61	42
AT3G21100	295	165
AT3G21110	269	180
AT3G21120	0	0
AT3G21130	0	0
AT3G21140	314	221
AT3G21150	4	26
AT3G21160	643	403
AT3G21165	0	0
AT3G21170	0	0
AT3G21175	326	270
AT3G21180	445	455
AT3G21190	829	770
AT3G21200	381	330
AT3G04055	0	0
AT3G21210	15	17
AT3G04065	5	1
AT3G21215	817	690
AT3G21220	691	606
AT3G21230	963	880
AT3G21240	1953	1589
AT3G21250	644	462
AT3G04085	0	0
AT3G21260	191	184
AT3G04095	0	0
AT3G04115	20	12
AT3G21270	98	129
AT3G21280	179	101
AT3G21290	390	312
AT3G21295	309	279
AT3G21300	118	53
AT3G21305	5	2
AT3G21310	2	2
AT3G21320	0	0
AT3G21330	40	19
AT3G21340	256	289
AT3G21350	290	190
AT3G21351	15	11
AT3G21352	0	0
AT3G21360	42	33
AT3G21370	2	9
AT3G21371	0	0
AT3G21380	0	11
AT3G21390	224	179
AT3G21400	216	168
AT3G21405	1	0
AT3G21410	0	1
AT3G04125	0	0
AT3G21420	256	170
AT3G21430	651	394
AT3G21450	0	0
AT3G21460	0	0
AT3G21465	338	186
AT3G21470	20	15
AT3G21473	0	0
AT3G21475	0	0
AT3G21480	260	145
AT3G21490	0	0
AT3G21500	0	0
AT3G21510	1833	1711
AT3G21520	19	4
AT3G04135	1	0
AT3G21530	198	204
AT3G21540	491	267
AT3G21550	287	440
AT3G21560	1400	1202
AT3G21570	0	0
AT3G21580	69	68
AT3G21590	1	0
AT3G21600	211	149
AT3G21610	325	250
AT3G21620	43	25
AT3G21630	840	745
AT3G21640	356	193
AT3G21650	185	152
AT3G21660	0	0
AT3G21670	41	287
AT3G21680	167	102
AT3G04145	0	0
AT3G21690	728	920
AT3G21700	211	170
AT3G21710	1350	1315
AT3G21720	202	106
AT3G21730	0	0
AT3G21740	137	75
AT3G21750	73	85
AT3G21755	1	4
AT3G21760	2	55
AT3G21770	1931	1596
AT3G21781	4	0
AT3G21780	4	4
AT3G21790	1	26
AT3G21800	0	1
AT3G21805	4	4
AT3G04155	0	0
AT3G04165	8	2
AT3G04175	9	0
AT3G21810	275	178
AT3G04185	0	0
AT3G21820	233	162
AT3G04195	1	0
AT3G21825	0	0
AT3G21830	0	0
AT3G04205	0	0
AT3G21840	0	0
AT3G21850	1	0
AT3G21860	7	1
AT3G21865	982	748
AT3G21870	1	29
AT3G21880	0	0
AT3G21890	110	104
AT3G21900	0	0
AT3G21910	0	0
AT3G21920	0	0
AT3G21930	0	0
AT3G21940	0	0
AT3G21945	0	0
AT3G21950	0	0
AT3G21960	0	0
AT3G21970	0	0
AT3G21980	0	0
AT3G21990	0	0
AT3G22000	0	0
AT3G22010	0	0
AT3G04215	0	0
AT3G22020	0	0
AT3G22022	0	0
AT3G22030	0	0
AT3G04225	0	0
AT3G22040	0	0
AT3G22050	0	0
AT3G22053	0	0
AT3G22057	0	0
AT3G22060	118	138
AT3G22070	123	101
AT3G22072	17	13
AT3G22080	0	0
AT3G22085	0	0
AT3G22090	3	0
AT3G22100	0	2
AT3G22104	206	205
AT3G22110	1944	1515
AT3G22120	150	478
AT3G22121	4	8
AT3G04235	0	0
AT3G22125	0	0
AT3G22142	2	19
AT3G22150	20	44
AT3G22160	122	158
AT3G04245	0	0
AT3G22170	981	779
AT3G22180	193	165
AT3G22190	347	220
AT3G22183	1	0
AT3G22200	3285	3012
AT3G22210	5	55
AT3G04255	0	0
AT3G22220	601	462
AT3G22230	4063	2734
AT3G22231	1	1
AT3G22235	2	5
AT3G22240	2178	2372
AT3G22250	47	35
AT3G22260	206	187
AT3G22270	755	644
AT3G22275	0	2
AT3G22290	990	788
AT3G22300	397	232
AT3G22310	981	562
AT3G22320	890	674
AT3G22330	754	553
AT3G22333	0	0
AT3G22337	0	0
AT3G22345	0	0
AT3G04265	0	0
AT3G22350	0	0
AT3G22360	0	0
AT3G22370	523	542
AT3G22380	6188	5211
AT3G22400	427	365
AT3G22410	19	18
AT3G22415	45	32
AT3G22420	52	80
AT3G22421	0	0
AT3G22425	292	200
AT3G22430	221	187
AT3G22436	0	0
AT3G22440	4509	3736
AT3G22450	16	9
AT3G22460	197	137
AT3G22470	54	53
AT3G22480	459	371
AT3G04275	0	0
AT3G22490	0	0
AT3G22500	0	0
AT3G22510	0	0
AT3G22520	559	502
AT3G22530	270	283
AT3G22540	109	85
AT3G22550	138	81
AT3G22560	16	9
AT3G22565	3	1
AT3G22570	422	442
AT3G22580	0	1
AT3G22590	353	290
AT3G22600	7497	8688
AT3G22620	8333	9276
AT3G22630	627	458
AT3G04285	0	0
AT3G22640	0	0
AT3G22650	0	0
AT3G22660	688	339
AT3G22680	199	159
AT3G22670	63	53
AT3G22690	46	27
AT3G22700	0	0
AT3G22710	0	0
AT3G04295	0	0
AT3G22720	0	0
AT3G22723	0	0
AT3G22730	0	0
AT3G22740	31	22
AT3G22750	332	306
AT3G22760	65	48
AT3G22770	1	0
AT3G22780	536	357
AT3G22790	1243	737
AT3G22800	675	996
AT3G04305	0	0
AT3G04315	0	0
AT3G22810	67	53
AT3G22820	1	1
AT3G22830	22	12
AT3G22840	618	469
AT3G22845	1829	1436
AT3G22850	1576	1350
AT3G22860	5	2
AT3G22870	0	0
AT3G22880	128	103
AT3G04325	0	0
AT3G22886	0	2
AT3G22890	4544	4639
AT3G22900	24	11
AT3G22910	2	9
AT3G22920	5	2
AT3G22930	287	184
AT3G22935	0	0
AT3G22940	0	0
AT3G04335	0	0
AT3G04345	0	0
AT3G22942	214	177
AT3G22950	595	479
AT3G04355	0	3
AT3G22960	4509	3662
AT3G22961	5	7
AT3G22970	1620	1639
AT3G04365	0	0
AT3G22980	532	425
AT3G22990	409	344
AT3G23000	4459	4174
AT3G23010	3	1
AT3G23020	19	24
AT3G23030	964	671
AT3G04375	0	0
AT3G23050	1230	1110
AT3G23060	12	3
AT3G23070	219	167
AT3G23080	182	133
AT3G23090	1914	1718
AT3G23100	217	168
AT3G23110	14	15
AT3G23120	2	1
AT3G04385	0	0
AT3G04395	0	0
AT3G23122	0	0
AT3G23123	0	0
AT3G23125	0	0
AT3G23130	0	0
AT3G23140	0	0
AT3G23145	0	0
AT3G23150	662	430
AT3G23160	458	497
AT3G23165	0	0
AT3G23167	0	0
AT3G23170	226	179
AT3G04405	0	0
AT3G23172	0	0
AT3G04415	0	0
AT3G23175	766	655
AT3G23180	711	587
AT3G23190	500	503
AT3G23200	139	132
AT3G23210	175	126
AT3G23220	0	0
AT3G23230	2	0
AT3G23240	5	10
AT3G23245	0	0
AT3G23250	7	14
AT3G23255	86	73
AT3G23260	14	12
AT3G04425	0	0
AT3G04435	0	0
AT3G23270	0	0
AT3G23280	948	901
AT3G23290	8	6
AT3G23300	1418	1062
AT3G23310	552	479
AT3G23320	0	0
AT3G23325	102	76
AT3G23326	0	0
AT3G23330	63	34
AT3G23340	199	167
AT3G23350	0	0
AT3G23360	7	0
AT3G23370	92	38
AT3G23380	0	3
AT3G23390	2523	1880
AT3G23400	295	397
AT3G23410	106	188
AT3G23420	0	0
AT3G23430	6191	3922
AT3G23440	13	33
AT3G23450	192	175
AT3G23460	0	0
AT3G23470	1006	614
AT3G23480	0	0
AT3G23490	921	835
AT3G04455	0	0
AT3G23510	837	629
AT3G04475	1	0
AT3G04495	0	0
AT3G23530	1225	1002
AT3G23540	665	621
AT3G23550	17	14
AT3G23560	458	338
AT3G23570	293	216
AT3G23580	128	135
AT3G04505	0	0
AT3G04515	0	0
AT3G04535	0	0
AT3G23590	834	581
AT3G23600	3608	3568
AT3G23605	117	132
AT3G04555	0	0
AT3G23610	64	59
AT3G23620	809	539
AT3G23630	46	27
AT3G04565	0	0
AT3G04575	0	0
AT3G23633	0	0
AT3G23635	0	0
AT3G23637	0	1
AT3G23640	1283	916
AT3G23650	0	0
AT3G04585	0	0
AT3G23660	864	640
AT3G23670	288	178
AT3G23680	0	0
AT3G23685	0	0
AT3G23690	1047	780
AT3G23700	97	224
AT3G23710	166	98
AT3G23715	0	0
AT3G23727	0	0
AT3G23730	367	362
AT3G23740	96	60
AT3G23750	1451	1218
AT3G23760	9	15
AT3G23770	0	0
AT3G23780	479	413
AT3G23790	121	76
AT3G23800	1125	846
AT3G23805	299	253
AT3G23810	5437	5703
AT3G04595	0	0
AT3G23820	4209	3822
AT3G23830	1237	656
AT3G23840	26	21
AT3G23860	1	0
AT3G23870	139	125
AT3G23880	23	54
AT3G23890	1062	558
AT3G23900	837	624
AT3G23910	244	174
AT3G23920	1388	1631
AT3G23930	27	19
AT3G23940	1423	866
AT3G23950	0	0
AT3G23955	2	1
AT3G23960	0	0
AT3G23970	0	0
AT3G23980	769	602
AT3G23990	4750	2799
AT3G24000	90	64
AT3G24010	221	136
AT3G24020	2411	2456
AT3G04615	21	26
AT3G24030	144	117
AT3G24040	772	586
AT3G24050	882	751
AT3G24060	0	0
AT3G24065	0	0
AT3G24068	0	0
AT3G24070	280	260
AT3G24080	1571	1087
AT3G24090	158	79
AT3G24093	0	0
AT3G24100	1389	1149
AT3G24110	76	60
AT3G24120	508	348
AT3G24130	5	0
AT3G24140	0	9
AT3G04625	0	0
AT3G24150	128	108
AT3G24160	4199	3946
AT3G24170	4500	4028
AT3G24180	1761	1391
AT3G24190	798	822
AT3G24200	589	491
AT3G04635	0	0
AT3G24210	394	269
AT3G24220	0	0
AT3G24225	0	0
AT3G04645	0	0
AT3G24230	3	0
AT3G24240	1829	1151
AT3G24250	0	0
AT3G24255	64	35
AT3G24260	0	0
AT3G24270	0	0
AT3G24280	0	0
AT3G24290	1	2
AT3G24300	1503	1703
AT3G24310	2	0
AT3G24315	249	219
AT3G24320	129	47
AT3G24332	0	1
AT3G24330	0	0
AT3G24340	30	15
AT3G04655	0	0
AT3G24350	460	414
AT3G24360	40	27
AT3G24420	179	186
AT3G24430	82	164
AT3G04665	0	0
AT3G24440	487	345
AT3G24450	134	132
AT3G24460	99	255
AT3G24463	163	139
AT3G24465	0	0
AT3G04675	0	0
AT3G24480	2123	2434
AT3G24490	306	264
AT3G24495	148	121
AT3G24500	650	557
AT3G04685	2	5
AT3G24503	2808	2566
AT3G04695	2	0
AT3G24506	224	184
AT3G24508	0	0
AT3G24510	0	0
AT3G24513	0	0
AT3G24515	84	42
AT3G24514	0	0
AT3G24516	0	0
AT3G24517	0	0
AT3G24518	79	69
AT3G24520	642	588
AT3G24530	620	467
AT3G04705	0	0
AT3G04725	0	0
AT3G24535	33	45
AT3G24540	11	2
AT3G24542	0	0
AT3G04745	0	0
AT3G24550	1911	1619
AT3G24560	47	15
AT3G24570	357	227
AT3G04755	0	0
AT3G24575	0	0
AT3G24580	0	0
AT3G24590	159	143
AT3G24600	0	0
AT3G24605	0	0
AT3G24610	0	0
AT3G24612	0	0
AT3G04775	0	0
AT3G24614	0	0
AT3G24615	0	0
AT3G24620	0	0
AT3G24630	20	17
AT3G24640	3	0
AT3G24650	4	14
AT3G24660	349	281
AT3G24670	976	680
AT3G04785	1	0
AT3G04795	0	0
AT3G24690	0	0
AT3G24700	0	0
AT3G24710	0	0
AT3G24715	245	189
AT3G24730	132	103
AT3G24740	553	437
AT3G04805	0	0
AT3G24750	124	64
AT3G24760	178	146
AT3G24770	117	81
AT3G04815	0	0
AT3G24780	5	5
AT3G24790	0	0
AT3G24800	482	364
AT3G24810	114	87
AT3G24820	141	55
AT3G24830	6807	4599
AT3G24840	706	519
AT3G24850	0	0
AT3G24860	155	100
AT3G04825	6	4
AT3G24870	257	194
AT3G04835	0	0
AT3G24880	232	152
AT3G24890	50	36
AT3G24900	0	1
AT3G04845	0	0
AT3G24929	122	66
AT3G24982	0	1
AT3G25010	4	2
AT3G25012	11	4
AT3G25011	0	0
AT3G25013	45	20
AT3G25014	0	0
AT3G25020	28	20
AT3G25030	117	94
AT3G25040	910	685
AT3G25050	0	0
AT3G25060	2	3
AT3G25070	429	354
AT3G25080	0	0
AT3G25090	0	0
AT3G25100	98	79
AT3G25110	1285	1186
AT3G25120	223	172
AT3G25130	44	40
AT3G25140	1746	1413
AT3G25150	1327	833
AT3G25160	0	0
AT3G25165	0	0
AT3G25170	0	0
AT3G04875	0	0
AT3G25180	0	0
AT3G25190	2052	1903
AT3G25200	0	0
AT3G04895	0	0
AT3G25210	156	126
AT3G25220	1076	727
AT3G25221	1	0
AT3G25230	3637	2323
AT3G25240	0	0
AT3G25250	94	104
AT3G25260	3	0
AT3G25265	0	0
AT3G25270	2	0
AT3G25280	0	0
AT3G25290	806	673
AT3G25400	137	128
AT3G25410	168	150
AT3G25420	0	0
AT3G25430	89	52
AT3G25440	138	84
AT3G04905	0	0
AT3G25460	0	0
AT3G25470	435	287
AT3G25480	94	70
AT3G25490	0	0
AT3G25493	0	0
AT3G25500	1204	1005
AT3G25505	3	2
AT3G25510	150	95
AT3G25520	11512	7274
AT3G25530	1151	863
AT3G25540	703	510
AT3G25545	320	240
AT3G25550	0	0
AT3G25560	497	330
AT3G04915	0	0
AT3G25570	70	60
AT3G25573	0	0
AT3G25577	0	1
AT3G25580	249	161
AT3G25585	1892	1474
AT3G25590	89	60
AT3G25597	138	148
AT3G25600	195	183
AT3G25610	465	427
AT3G25620	6	7
AT3G25640	351	410
AT3G25650	0	0
AT3G04925	0	0
AT3G25655	27	32
AT3G25660	518	391
AT3G25670	2	9
AT3G25680	203	146
AT3G25690	108	524
AT3G25700	161	115
AT3G25710	467	373
AT3G25715	0	0
AT3G25716	0	0
AT3G25717	191	175
AT3G04935	0	0
AT3G04955	0	0
AT3G25719	0	0
AT3G25720	0	0
AT3G25727	0	0
AT3G25730	102	102
AT3G25740	37	32
AT3G25750	0	0
AT3G25760	0	27
AT3G25770	2	12
AT3G25780	610	453
AT3G25790	548	562
AT3G25795	24	25
AT3G25800	1464	1179
AT3G25805	50	67
AT3G25810	0	0
AT3G25820	1	0
AT3G25830	0	0
AT3G25840	1436	970
AT3G25850	0	0
AT3G25855	14	15
AT3G25860	2147	1808
AT3G25870	74	69
AT3G25880	1	3
AT3G25882	32	36
AT3G25890	193	137
AT3G25900	484	347
AT3G25905	14	10
AT3G25910	1106	847
AT3G04965	0	1
AT3G25920	246	505
AT3G25930	2387	2446
AT3G25940	131	77
AT3G25950	72	130
AT3G25960	0	0
AT3G25970	37	19
AT3G25980	400	209
AT3G25990	11	9
AT3G26000	436	393
AT3G26010	0	0
AT3G26020	651	578
AT3G26030	1203	1090
AT3G26040	18	15
AT3G26050	66	40
AT3G26060	70	279
AT3G26070	92	185
AT3G26080	45	34
AT3G26085	96	113
AT3G26090	346	226
AT3G26100	2160	1769
AT3G26110	4	0
AT3G26115	44	37
AT3G26120	18	6
AT3G04975	1	0
AT3G04985	0	0
AT3G26130	35	33
AT3G26125	17	34
AT3G26135	44	26
AT3G04995	0	0
AT3G26140	0	0
AT3G26147	0	0
AT3G26150	0	0
AT3G26160	0	0
AT3G26170	2	4
AT3G26180	0	18
AT3G05005	0	0
AT3G26190	0	0
AT3G26200	0	0
AT3G26210	573	544
AT3G26220	1	7
AT3G26230	0	7
AT3G26235	0	0
AT3G26237	1	0
AT3G26240	94	94
AT3G26250	0	0
AT3G26270	0	0
AT3G26280	0	20
AT3G26290	275	263
AT3G26300	516	509
AT3G26310	2	22
AT3G26320	0	12
AT3G26330	661	562
AT3G26340	312	253
AT3G26350	32	15
AT3G26355	1	0
AT3G26360	302	233
AT3G26370	902	631
AT3G26380	213	207
AT3G26390	0	0
AT3G26395	175	154
AT3G26400	662	533
AT3G26410	200	129
AT3G26420	0	0
AT3G26430	10	8
AT3G26440	1428	1282
AT3G26445	24	20
AT3G26450	1971	2198
AT3G26460	70	69
AT3G26470	1013	926
AT3G05015	1	1
AT3G26480	39	27
AT3G26490	26	37
AT3G05025	0	0
AT3G26500	271	199
AT3G26510	184	311
AT3G26512	0	1
AT3G05045	0	0
AT3G05055	1	2
AT3G26520	37443	36674
AT3G26539	7	8
AT3G26540	42	31
AT3G26550	119	89
AT3G26560	1474	1268
AT3G26570	653	1220
AT3G26580	268	304
AT3G26590	514	364
AT3G26600	273	234
AT3G26610	240	167
AT3G26612	79	52
AT3G26616	0	0
AT3G26618	630	518
AT3G26620	1	0
AT3G26630	89	111
AT3G26640	219	155
AT3G26650	166	3547
AT3G26660	0	0
AT3G26670	615	523
AT3G26680	232	153
AT3G05075	0	0
AT3G26690	433	291
AT3G26700	353	228
AT3G26710	93	162
AT3G26720	3075	2489
AT3G26730	1061	766
AT3G26740	3	5
AT3G26742	0	0
AT3G26744	256	248
AT3G26747	0	1
AT3G26750	84	86
AT3G26760	332	280
AT3G26770	324	270
AT3G26780	1054	707
AT3G26782	81	53
AT3G26790	0	0
AT3G05085	0	0
AT3G26800	0	0
AT3G26810	1625	1367
AT3G26812	0	0
AT3G26813	0	0
AT3G05095	0	0
AT3G05105	0	0
AT3G26815	1	0
AT3G26816	0	0
AT3G26818	0	0
AT3G26819	0	0
AT3G26820	0	0
AT3G05115	0	0
AT3G26830	84	66
AT3G26840	71	46
AT3G26850	121	135
AT3G26855	0	0
AT3G26860	0	0
AT3G26870	0	0
AT3G26880	0	0
AT3G26890	1050	915
AT3G26900	210	188
AT3G26910	334	267
AT3G26920	163	101
AT3G26922	47	24
AT3G26930	0	0
AT3G26934	0	0
AT3G05125	0	0
AT3G26932	11	18
AT3G26935	1181	938
AT3G26940	0	0
AT3G26950	486	297
AT3G26960	0	2
AT3G26980	239	228
AT3G05135	0	1
AT3G26990	223	182
AT3G27000	247	164
AT3G27010	136	166
AT3G27020	833	933
AT3G27025	0	0
AT3G27027	69	62
AT3G27030	343	269
AT3G27040	0	0
AT3G27050	135	121
AT3G27060	665	538
AT3G27070	45	27
AT3G27080	472	350
AT3G27090	3472	3259
AT3G27100	321	265
AT3G27110	276	259
AT3G27120	83	47
AT3G27140	0	0
AT3G27150	1529	1498
AT3G27160	236	382
AT3G27170	3288	3487
AT3G05145	0	1
AT3G27180	90	78
AT3G05175	0	0
AT3G27185	2	0
AT3G05185	0	0
AT3G05195	0	0
AT3G05205	0	0
AT3G27190	1274	1028
AT3G27200	467	407
AT3G27210	315	297
AT3G27220	1477	690
AT3G27230	769	533
AT3G27240	3396	2993
AT3G05215	0	0
AT3G27250	0	0
AT3G27260	982	802
AT3G27270	146	173
AT3G27280	706	448
AT3G27290	22	21
AT3G27300	665	550
AT3G27310	580	375
AT3G27320	348	327
AT3G05225	0	0
AT3G27325	702	564
AT3G27329	0	0
AT3G27331	0	0
AT3G27330	158	115
AT3G27340	445	335
AT3G27350	697	569
AT3G27355	49	59
AT3G27360	98	83
AT3G27380	2326	2188
AT3G27390	1885	1750
AT3G05235	0	0
AT3G27400	11	3
AT3G27410	0	0
AT3G27415	1	0
AT3G27416	5	2
AT3G27420	180	139
AT3G27425	0	0
AT3G27430	1883	1542
AT3G27440	4	6
AT3G27460	183	127
AT3G27470	447	379
AT3G27473	39	12
AT3G05245	0	0
AT3G27475	10	4
AT3G27480	22	17
AT3G27490	13	20
AT3G27495	0	0
AT3G27500	46	51
AT3G27503	0	1
AT3G05265	0	0
AT3G27510	223	187
AT3G27520	72	75
AT3G27530	1327	1057
AT3G27540	37	63
AT3G27550	149	85
AT3G27555	0	0
AT3G27560	433	368
AT3G27570	1044	757
AT3G27580	520	334
AT3G27590	1	0
AT3G27600	0	0
AT3G27610	259	180
AT3G27620	6	7
